iteration,source,method,task_family,task_name,seed,frontier_id,objective_key,objective_value,best_so_far_objective,best_so_far_objective_iteration,combined_score,best_so_far_combined_score,best_so_far_combined_score_iteration,candidate_score,local_best,global_best_before,global_best_after,global_best,target_value,target_ratio,best_so_far_target_ratio,best_so_far_target_ratio_iteration,generation_cost,retry_cost,guide_cost,iteration_cost,cumulative_cost,remaining_budget_ratio,remaining_budget_ratio_before,remaining_budget_ratio_after,input_tokens,output_tokens,total_tokens,prompt_tokens,completion_tokens,generation_input_tokens,generation_output_tokens,retry_input_tokens,retry_output_tokens,guide_input_tokens,guide_output_tokens,num_calls,num_generation_calls_this_iteration,num_retry_calls_this_iteration,num_guide_calls_this_iteration,lambda_t,local_gain,global_gain,local_gain_normalized,global_gain_normalized,frontier_improvement,utility,frontier_signal,routing_reward,routing_stat,router_reward,recent_improvement_avg,stagnation_steps,intensity,tier,base_tier,final_tier,tier_override_reason,meta_triggered,guide_triggered,meta_sources,paradigm_triggered,paradigm_count,attempts_used,model_name,validity,eval_time,metrics_raw,calls,action_family,action_tier,budget_bin,call_completion_tokens,call_costs,call_input_tokens,call_model_names,call_output_tokens,call_prompt_tokens,call_roles,call_total_tokens,frontier_gain,generation_completion_tokens,generation_prompt_tokens,guide_completion_tokens,guide_prompt_tokens,retry_completion_tokens,retry_prompt_tokens
1,iteration,adaevolve,circle_packing,evaluator,,0,sum_radii,1.004560695111667,1.004560695111667,1,0.38123745545034804,0.38123745545034804,1,0.38123745545034804,0.38123745545034804,0.36423689449571406,0.38123745545034804,0.38123745545034804,,0.38123745545034804,0.38123745545034804,1,0.039852559999999995,0.005491219999999999,0.0,0.04534377999999999,0.04534377999999999,0.9995465622,1.0,0.9995465622,5979,17843,23822,5979,17843,3013,16384,2966,1459,0,0,2,1,1,0,,0.01700056095463398,0.01700056095463398,0.04667446162523227,0.04667446162523227,,0.01700056095463398,,,,,0.41591142113248347,,0.41591142113248347,balanced,balanced,balanced,,False,False,[],False,0,2,z-ai/glm-5,1.0,0.5659222602844238,"{""combined_score"": 0.38123745545034804, ""eval_time"": 0.2857966423034668, ""sum_radii"": 1.004560695111667, ""target_ratio"": 0.38123745545034804, ""validity"": 1.0}","[{""input_tokens"": 3013, ""meta"": {}, ""model_name"": ""z-ai/glm-5"", ""output_tokens"": 16384, ""raw_cost"": 0.039852559999999995, ""role"": ""generation"", ""total_tokens"": 19397}, {""input_tokens"": 2966, ""meta"": {}, ""model_name"": ""z-ai/glm-5"", ""output_tokens"": 1459, ""raw_cost"": 0.005491219999999999, ""role"": ""retry"", ""total_tokens"": 4425}]",,,,"[16384, 1459]","[0.039852559999999995, 0.005491219999999999]","[3013, 2966]","[""z-ai/glm-5"", ""z-ai/glm-5""]","[16384, 1459]","[3013, 2966]","[""generation"", ""retry""]","[19397, 4425]",,16384,3013,0,0,1459,2966
2,iteration,adaevolve,circle_packing,evaluator,,1,sum_radii,1.2741293288231361,1.2741293288231361,2,0.4835405422478695,0.4835405422478695,2,0.4835405422478695,0.4835405422478695,0.38123745545034804,0.4835405422478695,0.4835405422478695,,0.4835405422478695,0.4835405422478695,2,0.00773116,0.0,0.0,0.00773116,0.053074939999999994,0.9994692506,0.9995465622,0.9994692506,4023,2102,6125,4023,2102,4023,2102,0,0,0,0,1,1,0,0,,0.10230308679752148,0.10230308679752148,0.2683447949170496,0.2683447949170496,,0.10230308679752148,,,,,0.41591142113248347,,0.41591142113248347,exploitation,exploitation,exploitation,,False,False,[],False,0,1,z-ai/glm-5,1.0,0.43311095237731934,"{""combined_score"": 0.4835405422478695, ""eval_time"": 0.2217254638671875, ""sum_radii"": 1.2741293288231361, ""target_ratio"": 0.4835405422478695, ""validity"": 1.0}","[{""input_tokens"": 4023, ""meta"": {}, ""model_name"": ""z-ai/glm-5"", ""output_tokens"": 2102, ""raw_cost"": 0.00773116, ""role"": ""generation"", ""total_tokens"": 6125}]",,,,[2102],[0.00773116],[4023],"[""z-ai/glm-5""]",[2102],[4023],"[""generation""]",[6125],,2102,4023,0,0,0,0
3,iteration,adaevolve,circle_packing,evaluator,,1,sum_radii,0.9597642169962064,1.2741293288231361,2,0.36423689449571406,0.4835405422478695,2,0.36423689449571406,0.36423689449571406,0.4835405422478695,0.4835405422478695,0.4835405422478695,,0.36423689449571406,0.4835405422478695,2,0.015532659999999998,0.0,0.0,0.015532659999999998,0.06860759999999999,0.999313924,0.9994692506,0.999313924,4748,5267,10015,4748,5267,4748,5267,0,0,0,0,1,1,0,0,,-0.11930364775215546,0.0,-0.2467293584061019,0.0,,-0.11930364775215546,,,,,0.4156793369751578,,0.4156793369751578,exploration,exploration,exploration,,False,False,[],False,0,1,z-ai/glm-5,1.0,0.3491091728210449,"{""combined_score"": 0.36423689449571406, ""eval_time"": 0.1708841323852539, ""sum_radii"": 0.9597642169962064, ""target_ratio"": 0.36423689449571406, ""validity"": 1.0}","[{""input_tokens"": 4748, ""meta"": {}, ""model_name"": ""z-ai/glm-5"", ""output_tokens"": 5267, ""raw_cost"": 0.015532659999999998, ""role"": ""generation"", ""total_tokens"": 10015}]",,,,[5267],[0.015532659999999998],[4748],"[""z-ai/glm-5""]",[5267],[4748],"[""generation""]",[10015],,5267,4748,0,0,0,0
4,iteration,adaevolve,circle_packing,evaluator,,0,sum_radii,0.0,1.2741293288231361,2,0.0,0.4835405422478695,2,0.0,0.0,0.4835405422478695,0.4835405422478695,0.4835405422478695,,0.0,0.4835405422478695,2,0.007459459999999999,0.0,0.0,0.007459459999999999,0.07606705999999999,0.9992393294,0.999313924,0.9992393294,4933,1699,6632,4933,1699,4933,1699,0,0,0,0,1,1,0,0,,-0.4835405422478695,0.0,-1.0,0.0,,-0.4835405422478695,,,,,0.41915563724974847,,0.41915563724974847,exploitation,exploitation,exploitation,,False,False,[],False,0,1,z-ai/glm-5,0.0,0.24486398696899414,"{""combined_score"": 0.0, ""sum_radii"": 0.0, ""target_ratio"": 0.0, ""validity"": 0.0}","[{""input_tokens"": 4933, ""meta"": {}, ""model_name"": ""z-ai/glm-5"", ""output_tokens"": 1699, ""raw_cost"": 0.007459459999999999, ""role"": ""generation"", ""total_tokens"": 6632}]",,,,[1699],[0.007459459999999999],[4933],"[""z-ai/glm-5""]",[1699],[4933],"[""generation""]",[6632],,1699,4933,0,0,0,0
5,iteration,adaevolve,circle_packing,evaluator,,1,sum_radii,1.2741293288231361,1.2741293288231361,2,0.4835405422478695,0.4835405422478695,2,0.4835405422478695,0.4835405422478695,0.4835405422478695,0.4835405422478695,0.4835405422478695,,0.4835405422478695,0.4835405422478695,2,0.03921556,0.0,0.0,0.03921556,0.11528261999999999,0.9988471738,0.9992393294,0.9988471738,6083,15146,21229,6083,15146,6083,15146,0,0,0,0,1,1,0,0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.4156793369751578,,0.4156793369751578,exploitation,exploitation,exploitation,,False,False,[],False,0,1,z-ai/glm-5,1.0,0.4305269718170166,"{""combined_score"": 0.4835405422478695, ""eval_time"": 0.1961653232574463, ""sum_radii"": 1.2741293288231361, ""target_ratio"": 0.4835405422478695, ""validity"": 1.0}","[{""input_tokens"": 6083, ""meta"": {}, ""model_name"": ""z-ai/glm-5"", ""output_tokens"": 15146, ""raw_cost"": 0.03921556, ""role"": ""generation"", ""total_tokens"": 21229}]",,,,[15146],[0.03921556],[6083],"[""z-ai/glm-5""]",[15146],[6083],"[""generation""]",[21229],,15146,6083,0,0,0,0
6,iteration,adaevolve,circle_packing,evaluator,,0,sum_radii,1.2741293288231361,1.2741293288231361,2,0.4835405422478695,0.4835405422478695,2,0.4835405422478695,0.4835405422478695,0.4835405422478695,0.4835405422478695,0.4835405422478695,,0.4835405422478695,0.4835405422478695,2,0.03328924,0.0,0.0,0.03328924,0.14857186,0.9985142814,0.9988471738,0.9985142814,5672,12698,18370,5672,12698,5672,12698,0,0,0,0,1,1,0,0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.41915563724974847,,0.41915563724974847,exploitation,exploitation,exploitation,,False,False,[],False,0,1,z-ai/glm-5,1.0,0.42668747901916504,"{""combined_score"": 0.4835405422478695, ""eval_time"": 0.21262431144714355, ""sum_radii"": 1.2741293288231361, ""target_ratio"": 0.4835405422478695, ""validity"": 1.0}","[{""input_tokens"": 5672, ""meta"": {}, ""model_name"": ""z-ai/glm-5"", ""output_tokens"": 12698, ""raw_cost"": 0.03328924, ""role"": ""generation"", ""total_tokens"": 18370}]",,,,[12698],[0.03328924],[5672],"[""z-ai/glm-5""]",[12698],[5672],"[""generation""]",[18370],,12698,5672,0,0,0,0
7,iteration,adaevolve,circle_packing,evaluator,,0,sum_radii,0.0,1.2741293288231361,2,0.0,0.4835405422478695,2,0.0,0.0,0.4835405422478695,0.4835405422478695,0.4835405422478695,,0.0,0.4835405422478695,2,0.009605619999999999,0.0,0.0,0.009605619999999999,0.15817748,0.9984182252,0.9985142814,0.9984182252,5486,2459,7945,5486,2459,5486,2459,0,0,0,0,1,1,0,0,,-0.4835405422478695,0.0,-1.0,0.0,,-0.4835405422478695,,,,,0.4197877198241097,,0.4197877198241097,balanced,balanced,balanced,,False,False,[],False,0,1,z-ai/glm-5,0.0,0.25325894355773926,"{""combined_score"": 0.0, ""sum_radii"": 0.0, ""target_ratio"": 0.0, ""validity"": 0.0}","[{""input_tokens"": 5486, ""meta"": {}, ""model_name"": ""z-ai/glm-5"", ""output_tokens"": 2459, ""raw_cost"": 0.009605619999999999, ""role"": ""generation"", ""total_tokens"": 7945}]",,,,[2459],[0.009605619999999999],[5486],"[""z-ai/glm-5""]",[2459],[5486],"[""generation""]",[7945],,2459,5486,0,0,0,0
8,iteration,adaevolve,circle_packing,evaluator,,1,combined_score,0.0,1.2741293288231361,2,0.0,0.4835405422478695,2,0.0,0.0,0.4835405422478695,0.4835405422478695,0.4835405422478695,,,0.4835405422478695,2,0.00556748,0.0,0.0,0.00556748,0.16374496,0.9983625504,0.9984182252,0.9983625504,5554,682,6236,5554,682,5554,682,0,0,0,0,1,1,0,0,,-0.4835405422478695,0.0,-1.0,0.0,,-0.4835405422478695,,,,,0.4156793369751578,,0.4156793369751578,exploration,exploration,exploration,,False,False,[],False,0,1,z-ai/glm-5,0.0,0.21087360382080078,"{""combined_score"": 0.0, ""error"": ""Program execution failed: module 'program' has no attribute 'run_packing'"", ""validity"": 0.0}","[{""input_tokens"": 5554, ""meta"": {}, ""model_name"": ""z-ai/glm-5"", ""output_tokens"": 682, ""raw_cost"": 0.00556748, ""role"": ""generation"", ""total_tokens"": 6236}]",,,,[682],[0.00556748],[5554],"[""z-ai/glm-5""]",[682],[5554],"[""generation""]",[6236],,682,5554,0,0,0,0
9,iteration,adaevolve,circle_packing,evaluator,,0,sum_radii,0.0,1.2741293288231361,2,0.0,0.4835405422478695,2,0.0,0.0,0.4835405422478695,0.4835405422478695,0.4835405422478695,,0.0,0.4835405422478695,2,0.00991866,0.0,0.0,0.00991866,0.17366362,0.9982633638,0.9983625504,0.9982633638,5563,2571,8134,5563,2571,5563,2571,0,0,0,0,1,1,0,0,,-0.4835405422478695,0.0,-1.0,0.0,,-0.4835405422478695,,,,,0.4197877198241097,,0.4197877198241097,balanced,balanced,balanced,,False,False,[],False,0,1,z-ai/glm-5,0.0,0.2638695240020752,"{""combined_score"": 0.0, ""sum_radii"": 0.0, ""target_ratio"": 0.0, ""validity"": 0.0}","[{""input_tokens"": 5563, ""meta"": {}, ""model_name"": ""z-ai/glm-5"", ""output_tokens"": 2571, ""raw_cost"": 0.00991866, ""role"": ""generation"", ""total_tokens"": 8134}]",,,,[2571],[0.00991866],[5563],"[""z-ai/glm-5""]",[2571],[5563],"[""generation""]",[8134],,2571,5563,0,0,0,0
10,iteration,adaevolve,circle_packing,evaluator,,1,sum_radii,1.969002645624542,1.969002645624542,10,0.7472495808821792,0.7472495808821792,10,0.7472495808821792,0.7472495808821792,0.4835405422478695,0.7472495808821792,0.7472495808821792,,0.7472495808821792,0.7472495808821792,10,0.03178875999999999,0.0,0.0,0.03178875999999999,0.20545238,0.9979454762,0.9982633638,0.9979454762,5773,12014,17787,5773,12014,5773,12014,0,0,0,0,1,1,0,0,,0.26370903863430967,0.26370903863430967,0.5453711025106325,0.5453711025106325,,0.26370903863430967,,,,,0.4156793369751578,,0.4156793369751578,exploitation,exploitation,exploitation,,False,False,[],False,0,1,z-ai/glm-5,1.0,0.7186877727508545,"{""combined_score"": 0.7472495808821792, ""eval_time"": 0.33742260932922363, ""sum_radii"": 1.969002645624542, ""target_ratio"": 0.7472495808821792, ""validity"": 1.0}","[{""input_tokens"": 5773, ""meta"": {}, ""model_name"": ""z-ai/glm-5"", ""output_tokens"": 12014, ""raw_cost"": 0.03178875999999999, ""role"": ""generation"", ""total_tokens"": 17787}]",,,,[12014],[0.03178875999999999],[5773],"[""z-ai/glm-5""]",[12014],[5773],"[""generation""]",[17787],,12014,5773,0,0,0,0
