iteration,source,method,task_family,task_name,seed,frontier_id,selected_frontier,objective_key,objective_value,best_so_far_objective,best_so_far_objective_iteration,combined_score,best_so_far_combined_score,best_so_far_combined_score_iteration,candidate_score,local_best,global_best_before,global_best_after,global_best,target_value,target_ratio,best_so_far_target_ratio,best_so_far_target_ratio_iteration,step_cost,generation_cost,retry_cost,guide_cost,iteration_cost,cumulative_cost,cumulative_cost_after_step,remaining_budget_ratio,remaining_budget_ratio_before,remaining_budget_ratio_after,input_tokens,output_tokens,total_tokens,prompt_tokens,completion_tokens,generation_input_tokens,generation_output_tokens,retry_input_tokens,retry_output_tokens,guide_input_tokens,guide_output_tokens,num_calls,num_generation_calls_this_iteration,num_retry_calls_this_iteration,num_guide_calls_this_iteration,lambda_t,ref_cost,normalized_cost,ctilde,cost_phi,cost_denominator,local_gain,global_gain,local_gain_normalized,global_gain_normalized,frontier_improvement,utility,frontier_signal,routing_reward,routing_stat,router_reward,recent_improvement_avg,recent_H_avg,recent_utility_avg,stagnation_steps,intensity,explore,local_search_mode,explore_or_exploit,prompt_budget_mode,tier,base_tier,final_tier,tier_override_reason,meta_triggered,guidance_scheduled,guidance_triggered,whether_guidance_triggered,guide_triggered,guide_skipped_reason,stagnant,low_recent_utility,affordable_guidance,guidance_available,meta_sources,paradigm_triggered,paradigm_count,attempts_used,model_name,validity,eval_time,metrics_raw,prompt_component_cost_composition,calls,action_family,action_tier,budget_bin,call_completion_tokens,call_costs,call_input_tokens,call_model_names,call_output_tokens,call_prompt_tokens,call_roles,call_total_tokens,frontier_gain,generation_completion_tokens,generation_prompt_tokens,guide_completion_tokens,guide_prompt_tokens,retry_completion_tokens,retry_prompt_tokens
1,iteration,adaevolve,circle_packing,evaluator,,0,0,sum_radii,1.4003591091634264,1.4003591091634264,1,0.5314455822252093,0.5314455822252093,1,0.5314455822252093,0.5314455822252093,0.36423689449571406,0.5314455822252093,0.5314455822252093,,0.5314455822252093,0.5314455822252093,1,0.035227259999999996,0.035227259999999996,0.0,0.0,0.035227259999999996,0.035227259999999996,0.035227259999999996,0.98238637,1.0,0.98238637,3013,14373,17386,3013,14373,3013,14373,0,0,0,0,1,1,0,0,,,,,,,0.16720868772949526,0.16720868772949526,0.4590657625746444,0.4590657625746444,,0.16720868772949526,,,,,0.41591142113248347,,,,0.41591142113248347,,,,,exploration,exploration,exploration,,False,False,False,False,False,,,,,,[],False,0,1,z-ai/glm-5,1.0,0.3290715217590332,"{""combined_score"": 0.5314455822252093, ""eval_time"": 0.16643428802490234, ""sum_radii"": 1.4003591091634264, ""target_ratio"": 0.5314455822252093, ""validity"": 1.0}","{""generation"": 0.035227259999999996, ""guide"": 0.0, ""retry"": 0.0}","[{""input_tokens"": 3013, ""meta"": {}, ""model_name"": ""z-ai/glm-5"", ""output_tokens"": 14373, ""raw_cost"": 0.035227259999999996, ""role"": ""generation"", ""total_tokens"": 17386}]",,,,[14373],[0.035227259999999996],[3013],"[""z-ai/glm-5""]",[14373],[3013],"[""generation""]",[17386],,14373,3013,0,0,0,0
2,iteration,adaevolve,circle_packing,evaluator,,0,0,sum_radii,1.5712569870823951,1.5712569870823951,2,0.5963024618908521,0.5963024618908521,2,0.5963024618908521,0.5963024618908521,0.5314455822252093,0.5963024618908521,0.5963024618908521,,0.5963024618908521,0.5963024618908521,2,0.039408860000000004,0.039408860000000004,0.0,0.0,0.039408860000000004,0.07463612,0.07463612,0.96268194,0.98238637,0.96268194,5128,15529,20657,5128,15529,5128,15529,0,0,0,0,1,1,0,0,,,,,,,0.0648568796656428,0.0648568796656428,0.12203860909725008,0.12203860909725008,,0.0648568796656428,,,,,0.412510917538896,,,,0.412510917538896,,,,,exploitation,exploitation,exploitation,,False,False,False,False,False,,,,,,[],False,0,1,z-ai/glm-5,1.0,0.29254627227783203,"{""combined_score"": 0.5963024618908521, ""eval_time"": 0.12891364097595215, ""sum_radii"": 1.5712569870823951, ""target_ratio"": 0.5963024618908521, ""validity"": 1.0}","{""generation"": 0.039408860000000004, ""guide"": 0.0, ""retry"": 0.0}","[{""input_tokens"": 5128, ""meta"": {}, ""model_name"": ""z-ai/glm-5"", ""output_tokens"": 15529, ""raw_cost"": 0.039408860000000004, ""role"": ""generation"", ""total_tokens"": 20657}]",,,,[15529],[0.039408860000000004],[5128],"[""z-ai/glm-5""]",[15529],[5128],"[""generation""]",[20657],,15529,5128,0,0,0,0
3,iteration,adaevolve,circle_packing,evaluator,,1,1,sum_radii,1.5710787666877621,1.5712569870823951,2,0.5962348260674619,0.5963024618908521,2,0.5962348260674619,0.5962348260674619,0.5963024618908521,0.5963024618908521,0.5963024618908521,,0.5962348260674619,0.5963024618908521,2,0.01563626,0.01563626,0.0,0.0,0.01563626,0.09027238,0.09027238,0.95486381,0.96268194,0.95486381,3793,5611,9404,3793,5611,3793,5611,0,0,0,0,1,1,0,0,,,,,,,-6.763582339019969e-05,0.0,-0.00011342536332271563,0.0,,-6.763582339019969e-05,,,,,0.41591142113248347,,,,0.41591142113248347,,,,,balanced,balanced,balanced,,False,False,False,False,False,,,,,,[],False,0,1,z-ai/glm-5,1.0,0.2688930034637451,"{""combined_score"": 0.5962348260674619, ""eval_time"": 0.13190197944641113, ""sum_radii"": 1.5710787666877621, ""target_ratio"": 0.5962348260674619, ""validity"": 1.0}","{""generation"": 0.01563626, ""guide"": 0.0, ""retry"": 0.0}","[{""input_tokens"": 3793, ""meta"": {}, ""model_name"": ""z-ai/glm-5"", ""output_tokens"": 5611, ""raw_cost"": 0.01563626, ""role"": ""generation"", ""total_tokens"": 9404}]",,,,[5611],[0.01563626],[3793],"[""z-ai/glm-5""]",[5611],[3793],"[""generation""]",[9404],,5611,3793,0,0,0,0
4,iteration,adaevolve,circle_packing,evaluator,,1,1,sum_radii,1.241799474237549,1.5712569870823951,2,0.471271147718235,0.5963024618908521,2,0.471271147718235,0.471271147718235,0.5963024618908521,0.5963024618908521,0.5963024618908521,,0.471271147718235,0.5963024618908521,2,0.01459722,0.01459722,0.0,0.0,0.01459722,0.1048696,0.1048696,0.9475652,0.95486381,0.9475652,4931,4803,9734,4931,4803,4931,4803,0,0,0,0,1,1,0,0,,,,,,,-0.12503131417261715,0.0,-0.20967767561473363,0.0,,-0.12503131417261715,,,,,0.4070988442762219,,,,0.4070988442762219,,,,,exploration,exploration,exploration,,False,False,False,False,False,,,,,,[],False,0,1,z-ai/glm-5,1.0,0.26712894439697266,"{""combined_score"": 0.471271147718235, ""eval_time"": 0.1306624412536621, ""sum_radii"": 1.241799474237549, ""target_ratio"": 0.471271147718235, ""validity"": 1.0}","{""generation"": 0.01459722, ""guide"": 0.0, ""retry"": 0.0}","[{""input_tokens"": 4931, ""meta"": {}, ""model_name"": ""z-ai/glm-5"", ""output_tokens"": 4803, ""raw_cost"": 0.01459722, ""role"": ""generation"", ""total_tokens"": 9734}]",,,,[4803],[0.01459722],[4931],"[""z-ai/glm-5""]",[4803],[4931],"[""generation""]",[9734],,4803,4931,0,0,0,0
5,iteration,adaevolve,circle_packing,evaluator,,1,1,sum_radii,1.2043381008313552,1.5712569870823951,2,0.45705430771588434,0.5963024618908521,2,0.45705430771588434,0.45705430771588434,0.5963024618908521,0.5963024618908521,0.5963024618908521,,0.45705430771588434,0.5963024618908521,2,0.011131859999999999,0.011131859999999999,0.0,0.0,0.011131859999999999,0.11600145999999999,0.11600145999999999,0.94199927,0.9475652,0.94199927,6213,2895,9108,6213,2895,6213,2895,0,0,0,0,1,1,0,0,,,,,,,-0.13924815417496778,0.0,-0.233519334690347,0.0,,-0.13924815417496778,,,,,0.4070988442762219,,,,0.4070988442762219,,,,,exploitation,exploitation,exploitation,,False,False,False,False,False,,,,,,[],False,0,1,z-ai/glm-5,1.0,0.3457210063934326,"{""combined_score"": 0.45705430771588434, ""eval_time"": 0.1822366714477539, ""sum_radii"": 1.2043381008313552, ""target_ratio"": 0.45705430771588434, ""validity"": 1.0}","{""generation"": 0.011131859999999999, ""guide"": 0.0, ""retry"": 0.0}","[{""input_tokens"": 6213, ""meta"": {}, ""model_name"": ""z-ai/glm-5"", ""output_tokens"": 2895, ""raw_cost"": 0.011131859999999999, ""role"": ""generation"", ""total_tokens"": 9108}]",,,,[2895],[0.011131859999999999],[6213],"[""z-ai/glm-5""]",[2895],[6213],"[""generation""]",[9108],,2895,6213,0,0,0,0
6,iteration,adaevolve,circle_packing,evaluator,,0,0,sum_radii,1.5710787666877621,1.5712569870823951,2,0.5962348260674619,0.5963024618908521,2,0.5962348260674619,0.5962348260674619,0.5963024618908521,0.5963024618908521,0.5963024618908521,,0.5962348260674619,0.5963024618908521,2,0.014459739999999999,0.014459739999999999,0.0,0.0,0.014459739999999999,0.1304612,0.1304612,0.9347694,0.94199927,0.9347694,6037,4397,10434,6037,4397,6037,4397,0,0,0,0,1,1,0,0,,,,,,,-6.763582339019969e-05,0.0,-0.00011342536332271563,0.0,,-6.763582339019969e-05,,,,,0.4154487972414269,,,,0.4154487972414269,,,,,exploration,exploration,exploration,,False,False,False,False,False,,,,,,[],False,0,1,z-ai/glm-5,1.0,0.30931711196899414,"{""combined_score"": 0.5962348260674619, ""eval_time"": 0.1304464340209961, ""sum_radii"": 1.5710787666877621, ""target_ratio"": 0.5962348260674619, ""validity"": 1.0}","{""generation"": 0.014459739999999999, ""guide"": 0.0, ""retry"": 0.0}","[{""input_tokens"": 6037, ""meta"": {}, ""model_name"": ""z-ai/glm-5"", ""output_tokens"": 4397, ""raw_cost"": 0.014459739999999999, ""role"": ""generation"", ""total_tokens"": 10434}]",,,,[4397],[0.014459739999999999],[6037],"[""z-ai/glm-5""]",[4397],[6037],"[""generation""]",[10434],,4397,6037,0,0,0,0
7,iteration,adaevolve,circle_packing,evaluator,,0,0,combined_score,0.0,1.5712569870823951,2,0.0,0.5963024618908521,2,0.0,0.0,0.5963024618908521,0.5963024618908521,0.5963024618908521,,,0.5963024618908521,2,0.015181,0.015181,0.0,0.0,0.015181,0.1456422,0.1456422,0.9271789,0.9347694,0.9271789,5975,4730,10705,5975,4730,5975,4730,0,0,0,0,1,1,0,0,,,,,,,-0.5963024618908521,0.0,-1.0,0.0,,-0.5963024618908521,,,,,0.4154487972414269,,,,0.4154487972414269,,,,,exploitation,exploitation,exploitation,,False,False,False,False,False,,,,,,[],False,0,1,z-ai/glm-5,0.0,0.152130126953125,"{""combined_score"": 0.0, ""error"": ""Program execution failed: index 26 is out of bounds for axis 0 with size 26"", ""validity"": 0.0}","{""generation"": 0.015181, ""guide"": 0.0, ""retry"": 0.0}","[{""input_tokens"": 5975, ""meta"": {}, ""model_name"": ""z-ai/glm-5"", ""output_tokens"": 4730, ""raw_cost"": 0.015181, ""role"": ""generation"", ""total_tokens"": 10705}]",,,,[4730],[0.015181],[5975],"[""z-ai/glm-5""]",[4730],[5975],"[""generation""]",[10705],,4730,5975,0,0,0,0
8,iteration,adaevolve,circle_packing,evaluator,,1,1,sum_radii,1.5710787666877621,1.5712569870823951,2,0.5962348260674619,0.5963024618908521,2,0.5962348260674619,0.5962348260674619,0.5963024618908521,0.5963024618908521,0.5963024618908521,,0.5962348260674619,0.5963024618908521,2,0.008344639999999999,0.008344639999999999,0.0,0.0,0.008344639999999999,0.15398683999999999,0.15398683999999999,0.92300658,0.9271789,0.92300658,6287,1660,7947,6287,1660,6287,1660,0,0,0,0,1,1,0,0,,,,,,,-6.763582339019969e-05,0.0,-0.00011342536332271563,0.0,,-6.763582339019969e-05,,,,,0.4070988442762219,,,,0.4070988442762219,,,,,exploration,exploration,exploration,,False,False,False,False,False,,,,,,[],False,0,1,z-ai/glm-5,1.0,0.30643630027770996,"{""combined_score"": 0.5962348260674619, ""eval_time"": 0.13313746452331543, ""sum_radii"": 1.5710787666877621, ""target_ratio"": 0.5962348260674619, ""validity"": 1.0}","{""generation"": 0.008344639999999999, ""guide"": 0.0, ""retry"": 0.0}","[{""input_tokens"": 6287, ""meta"": {}, ""model_name"": ""z-ai/glm-5"", ""output_tokens"": 1660, ""raw_cost"": 0.008344639999999999, ""role"": ""generation"", ""total_tokens"": 7947}]",,,,[1660],[0.008344639999999999],[6287],"[""z-ai/glm-5""]",[1660],[6287],"[""generation""]",[7947],,1660,6287,0,0,0,0
9,iteration,adaevolve,circle_packing,evaluator,,0,0,sum_radii,0.0,1.5712569870823951,2,0.0,0.5963024618908521,2,0.0,0.0,0.5963024618908521,0.5963024618908521,0.5963024618908521,,0.0,0.5963024618908521,2,0.018028519999999996,0.018028519999999996,0.0,0.0,0.018028519999999996,0.17201535999999998,0.17201535999999998,0.91399232,0.92300658,0.91399232,5956,5974,11930,5956,5974,5956,5974,0,0,0,0,1,1,0,0,,,,,,,-0.5963024618908521,0.0,-1.0,0.0,,-0.5963024618908521,,,,,0.4154487972414269,,,,0.4154487972414269,,,,,balanced,balanced,balanced,,False,False,False,False,False,,,,,,[],False,0,1,z-ai/glm-5,0.0,0.16249871253967285,"{""combined_score"": 0.0, ""sum_radii"": 0.0, ""target_ratio"": 0.0, ""validity"": 0.0}","{""generation"": 0.018028519999999996, ""guide"": 0.0, ""retry"": 0.0}","[{""input_tokens"": 5956, ""meta"": {}, ""model_name"": ""z-ai/glm-5"", ""output_tokens"": 5974, ""raw_cost"": 0.018028519999999996, ""role"": ""generation"", ""total_tokens"": 11930}]",,,,[5974],[0.018028519999999996],[5956],"[""z-ai/glm-5""]",[5974],[5956],"[""generation""]",[11930],,5974,5956,0,0,0,0
10,iteration,adaevolve,circle_packing,evaluator,,1,1,sum_radii,1.3925638072998159,1.5712569870823951,2,0.5284872133965146,0.5963024618908521,2,0.5284872133965146,0.5284872133965146,0.5963024618908521,0.5963024618908521,0.5963024618908521,,0.5284872133965146,0.5963024618908521,2,0.010604259999999999,0.010604259999999999,0.0,0.0,0.010604259999999999,0.18261961999999998,0.18261961999999998,0.90869019,0.91399232,0.90869019,6298,2639,8937,6298,2639,6298,2639,0,0,0,0,1,1,0,0,,,,,,,-0.06781524849433751,0.0,-0.11372625945446875,0.0,,-0.06781524849433751,,,,,0.4070988442762219,,,,0.4070988442762219,,,,,exploration,exploration,exploration,,False,False,False,False,False,,,,,,[],False,0,1,z-ai/glm-5,1.0,0.26138758659362793,"{""combined_score"": 0.5284872133965146, ""eval_time"": 0.10666918754577637, ""sum_radii"": 1.3925638072998159, ""target_ratio"": 0.5284872133965146, ""validity"": 1.0}","{""generation"": 0.010604259999999999, ""guide"": 0.0, ""retry"": 0.0}","[{""input_tokens"": 6298, ""meta"": {}, ""model_name"": ""z-ai/glm-5"", ""output_tokens"": 2639, ""raw_cost"": 0.010604259999999999, ""role"": ""generation"", ""total_tokens"": 8937}]",,,,[2639],[0.010604259999999999],[6298],"[""z-ai/glm-5""]",[2639],[6298],"[""generation""]",[8937],,2639,6298,0,0,0,0
