iteration,source,method,task_family,task_name,seed,frontier_id,objective_key,objective_value,best_so_far_objective,best_so_far_objective_iteration,combined_score,best_so_far_combined_score,best_so_far_combined_score_iteration,candidate_score,local_best,global_best_before,global_best_after,global_best,target_value,target_ratio,best_so_far_target_ratio,best_so_far_target_ratio_iteration,generation_cost,retry_cost,guide_cost,iteration_cost,cumulative_cost,remaining_budget_ratio,remaining_budget_ratio_before,remaining_budget_ratio_after,input_tokens,output_tokens,total_tokens,prompt_tokens,completion_tokens,generation_input_tokens,generation_output_tokens,retry_input_tokens,retry_output_tokens,guide_input_tokens,guide_output_tokens,num_calls,num_generation_calls_this_iteration,num_retry_calls_this_iteration,num_guide_calls_this_iteration,lambda_t,local_gain,global_gain,local_gain_normalized,global_gain_normalized,frontier_improvement,utility,frontier_signal,routing_reward,routing_stat,router_reward,recent_improvement_avg,stagnation_steps,intensity,tier,base_tier,final_tier,tier_override_reason,meta_triggered,guide_triggered,meta_sources,paradigm_triggered,paradigm_count,attempts_used,model_name,validity,eval_time,metrics_raw,calls,action_family,action_tier,budget_bin,call_completion_tokens,call_costs,call_input_tokens,call_model_names,call_output_tokens,call_prompt_tokens,call_roles,call_total_tokens,frontier_gain,generation_completion_tokens,generation_prompt_tokens,guide_completion_tokens,guide_prompt_tokens,retry_completion_tokens,retry_prompt_tokens
1,iteration,costada,circle_packing,evaluator,,0,combined_score,0.0,0.0,1,0.0,0.0,1,0.0,0.36423689449571406,0.36423689449571406,0.36423689449571406,0.36423689449571406,,,,,0.006904959999999999,0.006871119999999999,0.0,0.013776079999999998,0.013776079999999998,0.98622392,1.0,0.98622392,6049,4096,10145,6049,4096,3048,2048,3001,2048,0,0,2,1,1,0,0.013776079999999968,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.49996500349965,rich,rich,rich,,False,False,[],False,0,2,z-ai/glm-5,0.0,0.1463794708251953,"{""combined_score"": 0.0, ""error"": ""Program execution failed: unterminated string literal (detected at line 3) (tmp9wacz2m0.py, line 3)"", ""validity"": 0.0}","[{""input_tokens"": 3048, ""meta"": {}, ""model_name"": ""z-ai/glm-5"", ""output_tokens"": 2048, ""raw_cost"": 0.006904959999999999, ""role"": ""generation"", ""total_tokens"": 5096}, {""input_tokens"": 3001, ""meta"": {}, ""model_name"": ""z-ai/glm-5"", ""output_tokens"": 2048, ""raw_cost"": 0.006871119999999999, ""role"": ""retry"", ""total_tokens"": 5049}]",,,,"[2048, 2048]","[0.006904959999999999, 0.006871119999999999]","[3048, 3001]","[""z-ai/glm-5"", ""z-ai/glm-5""]","[2048, 2048]","[3048, 3001]","[""generation"", ""retry""]","[5096, 5049]",,2048,3048,0,0,2048,3001
2,iteration,costada,circle_packing,evaluator,,1,combined_score,0.0,0.0,1,0.0,0.0,1,0.0,0.36423689449571406,0.36423689449571406,0.36423689449571406,0.36423689449571406,,,,,0.007912959999999998,0.0,0.0,0.007912959999999998,0.021689039999999996,0.97831096,0.98622392,0.97831096,4448,2048,6496,4448,2048,4448,2048,0,0,0,0,1,1,0,0,0.02168904000000005,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.49996500349965,rich,rich,rich,,False,False,[],False,0,1,z-ai/glm-5,0.0,0.1464855670928955,"{""combined_score"": 0.0, ""error"": ""Program execution failed: invalid syntax (tmpgssbjh6l.py, line 1)"", ""validity"": 0.0}","[{""input_tokens"": 4448, ""meta"": {}, ""model_name"": ""z-ai/glm-5"", ""output_tokens"": 2048, ""raw_cost"": 0.007912959999999998, ""role"": ""generation"", ""total_tokens"": 6496}]",,,,[2048],[0.007912959999999998],[4448],"[""z-ai/glm-5""]",[2048],[4448],"[""generation""]",[6496],,2048,4448,0,0,0,0
3,iteration,costada,circle_packing,evaluator,,0,sum_radii,0.9597642169962064,0.9597642169962064,3,0.36423689449571406,0.36423689449571406,3,0.36423689449571406,0.36423689449571406,0.36423689449571406,0.36423689449571406,0.36423689449571406,,0.36423689449571406,0.36423689449571406,3,0.009530799999999999,0.0,0.0,0.009530799999999999,0.031219839999999995,0.96878016,0.97831096,0.96878016,6695,2048,8743,6695,2048,6695,2048,0,0,0,0,1,1,0,0,0.03121984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.49996500349965,rich,rich,rich,,False,False,[],False,0,1,z-ai/glm-5,1.0,0.3021993637084961,"{""combined_score"": 0.36423689449571406, ""eval_time"": 0.1461350917816162, ""sum_radii"": 0.9597642169962064, ""target_ratio"": 0.36423689449571406, ""validity"": 1.0}","[{""input_tokens"": 6695, ""meta"": {}, ""model_name"": ""z-ai/glm-5"", ""output_tokens"": 2048, ""raw_cost"": 0.009530799999999999, ""role"": ""generation"", ""total_tokens"": 8743}]",,,,[2048],[0.009530799999999999],[6695],"[""z-ai/glm-5""]",[2048],[6695],"[""generation""]",[8743],,2048,6695,0,0,0,0
4,iteration,costada,circle_packing,evaluator,,1,combined_score,0.0,0.9597642169962064,3,0.0,0.36423689449571406,3,0.0,0.36423689449571406,0.36423689449571406,0.36423689449571406,0.36423689449571406,,,0.36423689449571406,3,0.00929824,0.0,0.0,0.00929824,0.04051808,0.95948192,0.96878016,0.95948192,6372,2048,8420,6372,2048,6372,2048,0,0,0,0,1,1,0,0,0.04051808000000001,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.49996500349965,rich,rich,rich,,False,False,[],False,0,1,z-ai/glm-5,0.0,0.15192675590515137,"{""combined_score"": 0.0, ""error"": ""Program execution failed: invalid syntax (tmpayxbunem.py, line 1)"", ""validity"": 0.0}","[{""input_tokens"": 6372, ""meta"": {}, ""model_name"": ""z-ai/glm-5"", ""output_tokens"": 2048, ""raw_cost"": 0.00929824, ""role"": ""generation"", ""total_tokens"": 8420}]",,,,[2048],[0.00929824],[6372],"[""z-ai/glm-5""]",[2048],[6372],"[""generation""]",[8420],,2048,6372,0,0,0,0
5,iteration,costada,circle_packing,evaluator,,0,combined_score,0.0,0.9597642169962064,3,0.0,0.36423689449571406,3,0.0,0.36423689449571406,0.36423689449571406,0.36423689449571406,0.36423689449571406,,,0.36423689449571406,3,0.0107512,0.0,0.0,0.0107512,0.05126928,0.94873072,0.95948192,0.94873072,8390,2048,10438,8390,2048,8390,2048,0,0,0,0,1,1,0,0,0.05126927999999997,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.49996500349965,rich,rich,rich,,False,False,[],False,0,1,z-ai/glm-5,0.0,0.14653921127319336,"{""combined_score"": 0.0, ""error"": ""Program execution failed: unterminated string literal (detected at line 5) (tmppobx9uvk.py, line 5)"", ""validity"": 0.0}","[{""input_tokens"": 8390, ""meta"": {}, ""model_name"": ""z-ai/glm-5"", ""output_tokens"": 2048, ""raw_cost"": 0.0107512, ""role"": ""generation"", ""total_tokens"": 10438}]",,,,[2048],[0.0107512],[8390],"[""z-ai/glm-5""]",[2048],[8390],"[""generation""]",[10438],,2048,8390,0,0,0,0
6,iteration,costada,circle_packing,evaluator,,1,sum_radii,1.2550663828846707,1.2550663828846707,6,0.4763060276602166,0.4763060276602166,6,0.4763060276602166,0.4763060276602166,0.36423689449571406,0.4763060276602166,0.4763060276602166,,0.4763060276602166,0.4763060276602166,6,0.01238166,0.0,0.0,0.01238166,0.06365094,0.93634906,0.94873072,0.93634906,6818,3249,10067,6818,3249,6818,3249,0,0,0,0,1,1,0,0,0.06365094000000004,0.30768199174238586,0.30768199174238586,0.30768199174238586,0.30768199174238586,0.11206913316450257,0.3039189703835467,0.030391897038354664,0.3039189703835467,0.030391897038354664,0.3039189703835467,0.018678188860750428,0,0.49996500349965,rich,rich,rich,,False,False,[],False,0,1,z-ai/glm-5,1.0,0.38475751876831055,"{""combined_score"": 0.4763060276602166, ""eval_time"": 0.18690729141235352, ""sum_radii"": 1.2550663828846707, ""target_ratio"": 0.4763060276602166, ""validity"": 1.0}","[{""input_tokens"": 6818, ""meta"": {}, ""model_name"": ""z-ai/glm-5"", ""output_tokens"": 3249, ""raw_cost"": 0.01238166, ""role"": ""generation"", ""total_tokens"": 10067}]",,,,[3249],[0.01238166],[6818],"[""z-ai/glm-5""]",[3249],[6818],"[""generation""]",[10067],,3249,6818,0,0,0,0
7,iteration,costada,circle_packing,evaluator,,1,sum_radii,1.0968737884098414,1.2550663828846707,6,0.4162708874420651,0.4763060276602166,6,0.4162708874420651,0.4763060276602166,0.4763060276602166,0.4763060276602166,0.4763060276602166,,0.4162708874420651,0.4763060276602166,6,0.01367814,0.0,0.0,0.01367814,0.07732908000000001,0.92267092,0.93634906,0.92267092,7392,3633,11025,7392,3633,7392,3633,0,0,0,0,1,1,0,0,0.07732908000000005,0.0,0.0,-0.1260432090541985,0.0,0.0,0.0,0.027352707334519197,0.0,0.027352707334519197,0.0,0.01600987616635751,1,0.4480415904988304,rich,rich,rich,,False,False,[],False,0,1,z-ai/glm-5,1.0,0.29731321334838867,"{""combined_score"": 0.4162708874420651, ""eval_time"": 0.142744779586792, ""sum_radii"": 1.0968737884098414, ""target_ratio"": 0.4162708874420651, ""validity"": 1.0}","[{""input_tokens"": 7392, ""meta"": {}, ""model_name"": ""z-ai/glm-5"", ""output_tokens"": 3633, ""raw_cost"": 0.01367814, ""role"": ""generation"", ""total_tokens"": 11025}]",,,,[3633],[0.01367814],[7392],"[""z-ai/glm-5""]",[3633],[7392],"[""generation""]",[11025],,3633,7392,0,0,0,0
8,iteration,costada,circle_packing,evaluator,,0,combined_score,0.0,1.2550663828846707,6,0.0,0.4763060276602166,6,0.0,0.36423689449571406,0.4763060276602166,0.4763060276602166,0.4763060276602166,,,0.4763060276602166,6,0.00949732,0.0,0.0,0.00949732,0.08682640000000001,0.9131736,0.92267092,0.9131736,9006,1310,10316,9006,1310,9006,1310,0,0,0,0,1,1,0,0,0.08682639999999997,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01400864164556282,4,0.49996500349965,rich,rich,rich,,False,False,[],False,0,1,z-ai/glm-5,0.0,0.14515423774719238,"{""combined_score"": 0.0, ""error"": ""Program execution failed: invalid syntax (tmpqvpfsjek.py, line 30)"", ""validity"": 0.0}","[{""input_tokens"": 9006, ""meta"": {}, ""model_name"": ""z-ai/glm-5"", ""output_tokens"": 1310, ""raw_cost"": 0.00949732, ""role"": ""generation"", ""total_tokens"": 10316}]",,,,[1310],[0.00949732],[9006],"[""z-ai/glm-5""]",[1310],[9006],"[""generation""]",[10316],,1310,9006,0,0,0,0
9,iteration,costada,circle_packing,evaluator,,1,sum_radii,1.3338496892886917,1.3338496892886917,9,0.5062048156693327,0.5062048156693327,9,0.5062048156693327,0.5062048156693327,0.4763060276602166,0.5062048156693327,0.5062048156693327,,0.5062048156693327,0.5062048156693327,9,0.01049606,0.0,0.0,0.01049606,0.09732246000000001,0.90267754,0.9131736,0.90267754,8173,2005,10178,8173,2005,8173,2005,0,0,0,0,1,1,0,0,0.09732246,0.06277222263171749,0.06277222263171749,0.06277222263171749,0.06277222263171749,0.029898788009116106,0.06212020523040683,0.03082945712410796,0.06212020523040683,0.03082945712410796,0.06212020523040683,0.017745990146702334,0,0.4503295294395475,rich,rich,rich,,False,False,[],False,0,1,z-ai/glm-5,1.0,0.2996330261230469,"{""combined_score"": 0.5062048156693327, ""eval_time"": 0.14533185958862305, ""sum_radii"": 1.3338496892886917, ""target_ratio"": 0.5062048156693327, ""validity"": 1.0}","[{""input_tokens"": 8173, ""meta"": {}, ""model_name"": ""z-ai/glm-5"", ""output_tokens"": 2005, ""raw_cost"": 0.01049606, ""role"": ""generation"", ""total_tokens"": 10178}]",,,,[2005],[0.01049606],[8173],"[""z-ai/glm-5""]",[2005],[8173],"[""generation""]",[10178],,2005,8173,0,0,0,0
10,iteration,costada,circle_packing,evaluator,,1,sum_radii,1.423961733460865,1.423961733460865,10,0.540402934899759,0.540402934899759,10,0.540402934899759,0.540402934899759,0.5062048156693327,0.540402934899759,0.540402934899759,,0.540402934899759,0.540402934899759,10,0.010191759999999998,0.0,0.0,0.010191759999999998,0.10751422000000001,0.89248578,0.90267754,0.89248578,7613,2048,9661,7613,2048,7613,2048,0,0,0,0,1,1,0,0,0.10751422,0.06755787019767397,0.06755787019767397,0.06755787019767397,0.06755787019767397,0.03419811923042626,0.06687628316991416,0.03443413972868858,0.06687628316991416,0.03443413972868858,0.06687628316991416,0.022020755050505617,0,0.4477245626372538,rich,rich,rich,,False,False,[],False,0,1,z-ai/glm-5,1.0,0.3570988178253174,"{""combined_score"": 0.540402934899759, ""eval_time"": 0.1454753875732422, ""sum_radii"": 1.423961733460865, ""target_ratio"": 0.540402934899759, ""validity"": 1.0}","[{""input_tokens"": 7613, ""meta"": {}, ""model_name"": ""z-ai/glm-5"", ""output_tokens"": 2048, ""raw_cost"": 0.010191759999999998, ""role"": ""generation"", ""total_tokens"": 9661}]",,,,[2048],[0.010191759999999998],[7613],"[""z-ai/glm-5""]",[2048],[7613],"[""generation""]",[9661],,2048,7613,0,0,0,0
