iteration,source,method,task_family,task_name,seed,frontier_id,selected_frontier,objective_key,objective_value,best_so_far_objective,best_so_far_objective_iteration,combined_score,best_so_far_combined_score,best_so_far_combined_score_iteration,candidate_score,local_best,global_best_before,global_best_after,global_best,target_value,target_ratio,best_so_far_target_ratio,best_so_far_target_ratio_iteration,step_cost,generation_cost,retry_cost,guide_cost,iteration_cost,cumulative_cost,cumulative_cost_after_step,remaining_budget_ratio,remaining_budget_ratio_before,remaining_budget_ratio_after,input_tokens,output_tokens,total_tokens,prompt_tokens,completion_tokens,generation_input_tokens,generation_output_tokens,retry_input_tokens,retry_output_tokens,guide_input_tokens,guide_output_tokens,num_calls,num_generation_calls_this_iteration,num_retry_calls_this_iteration,num_guide_calls_this_iteration,lambda_t,ref_cost,normalized_cost,ctilde,cost_phi,cost_denominator,local_gain,global_gain,local_gain_normalized,global_gain_normalized,frontier_improvement,utility,frontier_signal,routing_reward,routing_stat,router_reward,recent_improvement_avg,recent_H_avg,recent_utility_avg,stagnation_steps,intensity,explore,local_search_mode,explore_or_exploit,prompt_budget_mode,tier,base_tier,final_tier,tier_override_reason,meta_triggered,guidance_scheduled,guidance_triggered,whether_guidance_triggered,guide_triggered,guide_skipped_reason,stagnant,low_recent_utility,affordable_guidance,guidance_available,meta_sources,paradigm_triggered,paradigm_count,attempts_used,model_name,validity,eval_time,metrics_raw,prompt_component_cost_composition,calls,action_family,action_tier,budget_bin,call_completion_tokens,call_costs,call_input_tokens,call_model_names,call_output_tokens,call_prompt_tokens,call_roles,call_total_tokens,frontier_gain,generation_completion_tokens,generation_prompt_tokens,guide_completion_tokens,guide_prompt_tokens,retry_completion_tokens,retry_prompt_tokens
1,iteration,costada,circle_packing,evaluator,,0,0,sum_radii,2.4536633766860527,2.4536633766860527,1,0.9311815471294318,0.9311815471294318,1,0.9311815471294318,0.9311815471294318,0.36423689449571406,0.9311815471294318,0.9311815471294318,,0.9311815471294318,0.9311815471294318,1,0.00648416,0.00648416,0.0,0.0,0.00648416,0.00648416,0.00648416,0.99351584,1.0,0.99351584,3013,1876,4889,3013,1876,3013,1876,0,0,0,0,1,1,0,0,0.006484159999999961,0.01,0.6484153515846485,0.6484153515846485,0.4998144334606641,1.0032408767568683,1.556527252459289,1.556527252459289,1.556527252459289,1.556527252459289,0.5669446526337177,1.5514990352974898,0.15514990352974894,1.5514990352974898,0.15514990352974894,1.5514990352974898,0.5669446526337177,0.15514990352974894,1.5514990352974898,0,0.49996500349965,True,exploration,exploration,standard,,,,,False,False,False,False,False,,False,False,True,True,[],False,0,1,z-ai/glm-5,1.0,39.133301973342896,"{""combined_score"": 0.9311815471294318, ""eval_time"": 19.383265733718872, ""sum_radii"": 2.4536633766860527, ""target_ratio"": 0.9311815471294318, ""validity"": 1.0}","{""generation"": 0.00648416, ""guide"": 0.0, ""retry"": 0.0}","[{""input_tokens"": 3013, ""meta"": {}, ""model_name"": ""z-ai/glm-5"", ""output_tokens"": 1876, ""raw_cost"": 0.00648416, ""role"": ""generation"", ""total_tokens"": 4889}]",,,,[1876],[0.00648416],[3013],"[""z-ai/glm-5""]",[1876],[3013],"[""generation""]",[4889],,1876,3013,0,0,0,0
2,iteration,costada,circle_packing,evaluator,,0,0,combined_score,0.0,2.4536633766860527,1,0.0,0.9311815471294318,1,0.0,0.9311815471294318,0.9311815471294318,0.9311815471294318,0.9311815471294318,,,0.9311815471294318,1,0.01164948,0.01164948,0.0,0.0,0.01164948,0.01813364,0.01813364,0.98186636,0.99351584,0.98186636,5504,3342,8846,5504,3342,5504,3342,0,0,0,0,1,1,0,0,0.01813363999999995,0.01,1.1649468350531649,1.1649468350531649,0.7723958045955064,1.0140063474580452,0.0,0.0,0.0,0.0,0.0,0.0,0.13963491317677407,0.0,0.13963491317677407,0.0,0.28347232631685887,0.1473924083532615,0.7757495176487449,1,0.40109572109434555,True,exploration,exploration,standard,,,,,False,False,False,False,False,,False,False,True,True,[],False,0,1,z-ai/glm-5,0.0,0.1328892707824707,"{""combined_score"": 0.0, ""error"": ""Program execution failed: module 'program' has no attribute 'run_packing'"", ""validity"": 0.0}","{""generation"": 0.01164948, ""guide"": 0.0, ""retry"": 0.0}","[{""input_tokens"": 5504, ""meta"": {}, ""model_name"": ""z-ai/glm-5"", ""output_tokens"": 3342, ""raw_cost"": 0.01164948, ""role"": ""generation"", ""total_tokens"": 8846}]",,,,[3342],[0.01164948],[5504],"[""z-ai/glm-5""]",[3342],[5504],"[""generation""]",[8846],,3342,5504,0,0,0,0
3,iteration,costada,circle_packing,evaluator,,1,1,sum_radii,2.437280844387171,2.4536633766860527,1,0.9249642673196097,0.9311815471294318,1,0.9249642673196097,0.9249642673196097,0.9311815471294318,0.9311815471294318,0.9311815471294318,,0.9249642673196097,0.9311815471294318,1,0.007719359999999999,0.007719359999999999,0.0,0.0,0.007719359999999999,0.025852999999999998,0.025852999999999998,0.974147,0.98186636,0.974147,4358,1992,6350,4358,1992,4358,1992,0,0,0,0,1,1,0,0,0.025853000000000015,0.01,0.7719352280647718,0.7719352280647718,0.5720722985039605,1.0147897851332228,1.539457922295935,0.0,1.539457922295935,0.0,0.0,1.477801943418204,0.14778019434182035,0.0,0.0,0.0,0.1889815508779059,0.14752167034944777,1.009766992905231,1,0.49996500349965,False,exploitation,exploitation,standard,,,,,False,False,False,False,False,,False,False,True,True,[],False,0,1,z-ai/glm-5,1.0,0.31108641624450684,"{""combined_score"": 0.9249642673196097, ""eval_time"": 0.13695120811462402, ""sum_radii"": 2.437280844387171, ""target_ratio"": 0.9249642673196097, ""validity"": 1.0}","{""generation"": 0.007719359999999999, ""guide"": 0.0, ""retry"": 0.0}","[{""input_tokens"": 4358, ""meta"": {}, ""model_name"": ""z-ai/glm-5"", ""output_tokens"": 1992, ""raw_cost"": 0.007719359999999999, ""role"": ""generation"", ""total_tokens"": 6350}]",,,,[1992],[0.007719359999999999],[4358],"[""z-ai/glm-5""]",[1992],[4358],"[""generation""]",[6350],,1992,4358,0,0,0,0
4,iteration,costada,circle_packing,evaluator,,0,0,sum_radii,0.9597642169962064,2.4536633766860527,1,0.36423689449571406,0.9311815471294318,1,0.36423689449571406,0.9311815471294318,0.9311815471294318,0.9311815471294318,0.9311815471294318,,0.36423689449571406,0.9311815471294318,1,0.01622144,0.01622144,0.0,0.0,0.01622144,0.04207444,0.04207444,0.95792556,0.974147,0.95792556,6072,5152,11224,6072,5152,6072,5152,0,0,0,0,1,1,0,0,0.042074440000000046,0.01,1.622142377857622,1.622142377857622,0.9639916851096678,1.0405594103156457,0.0,0.0,0.0,0.0,0.0,0.0,0.12567142185909666,0.0,0.12567142185909666,0.0,0.14173616315842943,0.14205910822686002,0.7573252446789234,2,0.404790504493696,True,exploration,exploration,standard,,,,,False,False,False,False,False,,False,False,True,True,[],False,0,1,z-ai/glm-5,1.0,0.28706789016723633,"{""combined_score"": 0.36423689449571406, ""eval_time"": 0.13668608665466309, ""sum_radii"": 0.9597642169962064, ""target_ratio"": 0.36423689449571406, ""validity"": 1.0}","{""generation"": 0.01622144, ""guide"": 0.0, ""retry"": 0.0}","[{""input_tokens"": 6072, ""meta"": {}, ""model_name"": ""z-ai/glm-5"", ""output_tokens"": 5152, ""raw_cost"": 0.01622144, ""role"": ""generation"", ""total_tokens"": 11224}]",,,,[5152],[0.01622144],[6072],"[""z-ai/glm-5""]",[5152],[6072],"[""generation""]",[11224],,5152,6072,0,0,0,0
5,iteration,costada,circle_packing,evaluator,,1,1,sum_radii,2.487645897741384,2.487645897741384,5,0.9440781395602976,0.9440781395602976,5,0.9440781395602976,0.9440781395602976,0.9311815471294318,0.9440781395602976,0.9440781395602976,,0.9440781395602976,0.9440781395602976,5,0.00735508,0.00735508,0.0,0.0,0.00735508,0.04942952,0.04942952,0.95057048,0.95792556,0.95057048,5264,1550,6814,5264,1550,5264,1550,0,0,0,0,1,1,0,0,0.049429520000000005,0.01,0.7355072644927355,0.7355072644927355,0.5512997421321681,1.0272504816297168,0.02066444393152259,0.013849707901345725,0.02066444393152259,0.013849707901345725,0.012896592430865828,0.019788352659981072,0.13498101017363642,0.013482308501207399,0.0013482308501207396,0.013482308501207399,0.11596824901291672,0.14064348861621528,0.609817866275135,0,0.40281310390386116,False,exploitation,exploitation,standard,,,,,False,False,False,False,False,,False,False,True,True,[],False,0,1,z-ai/glm-5,1.0,53.982109785079956,"{""combined_score"": 0.9440781395602976, ""eval_time"": 27.123579263687134, ""sum_radii"": 2.487645897741384, ""target_ratio"": 0.9440781395602976, ""validity"": 1.0}","{""generation"": 0.00735508, ""guide"": 0.0, ""retry"": 0.0}","[{""input_tokens"": 5264, ""meta"": {}, ""model_name"": ""z-ai/glm-5"", ""output_tokens"": 1550, ""raw_cost"": 0.00735508, ""role"": ""generation"", ""total_tokens"": 6814}]",,,,[1550],[0.00735508],[5264],"[""z-ai/glm-5""]",[1550],[5264],"[""generation""]",[6814],,1550,5264,0,0,0,0
6,iteration,costada,circle_packing,evaluator,,0,0,sum_radii,0.9597642169962064,2.487645897741384,5,0.36423689449571406,0.9440781395602976,5,0.36423689449571406,0.9311815471294318,0.9440781395602976,0.9440781395602976,0.9440781395602976,,0.36423689449571406,0.9440781395602976,5,0.009458719999999999,0.009458719999999999,0.0,0.0,0.009458719999999999,0.058888239999999994,0.058888239999999994,0.94111176,0.95057048,0.94111176,6416,2104,8520,6416,2104,6416,2104,0,0,0,0,1,1,0,0,0.058888240000000036,0.01,0.9458710541289457,0.9458710541289457,0.6657097195585978,1.0392024737356995,0.0,0.0,0.0,0.0,0.0,0.0,0.113104279673187,0.0,0.113104279673187,0.0,0.09664020751076392,0.1360536204590439,0.5081815552292791,3,0.40839761481593906,True,exploration,exploration,standard,,,,,False,False,False,False,False,,False,False,True,True,[],False,0,1,z-ai/glm-5,1.0,0.3160130977630615,"{""combined_score"": 0.36423689449571406, ""eval_time"": 0.16493892669677734, ""sum_radii"": 0.9597642169962064, ""target_ratio"": 0.36423689449571406, ""validity"": 1.0}","{""generation"": 0.009458719999999999, ""guide"": 0.0, ""retry"": 0.0}","[{""input_tokens"": 6416, ""meta"": {}, ""model_name"": ""z-ai/glm-5"", ""output_tokens"": 2104, ""raw_cost"": 0.009458719999999999, ""role"": ""generation"", ""total_tokens"": 8520}]",,,,[2104],[0.009458719999999999],[6416],"[""z-ai/glm-5""]",[2104],[6416],"[""generation""]",[8520],,2104,6416,0,0,0,0
7,iteration,costada,circle_packing,evaluator,,0,0,sum_radii,2.485208383894244,2.487645897741384,5,0.9431530868668858,0.9440781395602976,5,0.9431530868668858,0.9431530868668858,0.9440781395602976,0.9440781395602976,0.9440781395602976,,0.9431530868668858,0.9440781395602976,5,0.018105559999999996,0.018105559999999996,0.0,0.0,0.018105559999999996,0.07699379999999999,0.07699379999999999,0.9230062,0.94111176,0.9230062,6638,5794,12432,6638,5794,6638,5794,0,0,0,0,1,1,0,0,0.0769938,0.01,1.8105541894458101,1.8105541894458101,1.0333816843436083,1.079563982728015,0.012856289704578956,0.0,0.012856289704578956,0.0,0.0,0.010991877550727969,0.1028930394609411,0.0,0.1017938517058683,0.0,0.0021494320718109714,0.1273441431142426,0.25143036227148546,4,0.41191531099076295,False,exploitation,exploitation,standard,,,,,False,False,False,False,False,,False,False,True,True,[],False,0,1,z-ai/glm-5,1.0,44.79584336280823,"{""combined_score"": 0.9431530868668858, ""eval_time"": 22.60295271873474, ""sum_radii"": 2.485208383894244, ""target_ratio"": 0.9431530868668858, ""validity"": 1.0}","{""generation"": 0.018105559999999996, ""guide"": 0.0, ""retry"": 0.0}","[{""input_tokens"": 6638, ""meta"": {}, ""model_name"": ""z-ai/glm-5"", ""output_tokens"": 5794, ""raw_cost"": 0.018105559999999996, ""role"": ""generation"", ""total_tokens"": 12432}]",,,,[5794],[0.018105559999999996],[6638],"[""z-ai/glm-5""]",[5794],[6638],"[""generation""]",[12432],,5794,6638,0,0,0,0
8,iteration,costada,circle_packing,evaluator,,1,1,combined_score,0.0,2.487645897741384,5,0.0,0.9440781395602976,5,0.0,0.9440781395602976,0.9440781395602976,0.9440781395602976,0.9440781395602976,,,0.9440781395602976,5,0.01463634,0.01463634,0.0,0.0,0.01463634,0.09163013999999998,0.09163013999999998,0.90836986,0.9230062,0.90836986,6672,4275,10947,6672,4275,6672,4275,0,0,0,0,1,1,0,0,0.09163014000000003,0.01,1.4636325363674636,1.4636325363674636,0.9016369015820964,1.0826171155211337,0.0,0.0,0.0,0.0,0.0,0.0,0.12148290915627279,0.0,0.0012134077651086658,0.0,0.0021494320718109714,0.12431880911082571,0.25143036227148546,1,0.4059606596855938,True,exploration,exploration,standard,,,,,False,False,False,False,False,,False,False,True,True,[],False,0,1,z-ai/glm-5,0.0,0.17912817001342773,"{""combined_score"": 0.0, ""error"": ""Program execution failed: did you forget parentheses around the comprehension target? (tmpucf08ii0.py, line 44)"", ""validity"": 0.0}","{""generation"": 0.01463634, ""guide"": 0.0, ""retry"": 0.0}","[{""input_tokens"": 6672, ""meta"": {}, ""model_name"": ""z-ai/glm-5"", ""output_tokens"": 4275, ""raw_cost"": 0.01463634, ""role"": ""generation"", ""total_tokens"": 10947}]",,,,[4275],[0.01463634],[6672],"[""z-ai/glm-5""]",[4275],[6672],"[""generation""]",[10947],,4275,6672,0,0,0,0
9,iteration,costada,circle_packing,evaluator,,0,0,sum_radii,2.485088917285216,2.487645897741384,5,0.9431077484953382,0.9440781395602976,5,0.9431077484953382,0.9431530868668858,0.9440781395602976,0.9440781395602976,0.9440781395602976,,0.9431077484953382,0.9440781395602976,5,0.00950348,0.00950348,0.0,0.0,0.00950348,0.10113361999999998,0.10113361999999998,0.8988663800000001,0.90836986,0.8988663800000001,6114,2218,8332,6114,2218,6114,2218,0,0,0,0,1,1,0,0,0.10113361999999992,0.01,0.9503470496529504,0.9503470496529504,0.66800733092113,1.0675579995625917,0.0,0.0,0.0,0.0,0.0,0.0,0.09260373551484699,0.0,0.09161446653528148,0.0,0.0021494320718109714,0.1151227326396635,0.005130038368451506,5,0.4149970410157784,True,exploration,exploration,standard,,,,,False,False,False,False,False,,False,True,True,True,[],False,0,1,z-ai/glm-5,1.0,44.46737313270569,"{""combined_score"": 0.9431077484953382, ""eval_time"": 21.49153709411621, ""sum_radii"": 2.485088917285216, ""target_ratio"": 0.9431077484953382, ""validity"": 1.0}","{""generation"": 0.00950348, ""guide"": 0.0, ""retry"": 0.0}","[{""input_tokens"": 6114, ""meta"": {}, ""model_name"": ""z-ai/glm-5"", ""output_tokens"": 2218, ""raw_cost"": 0.00950348, ""role"": ""generation"", ""total_tokens"": 8332}]",,,,[2218],[0.00950348],[6114],"[""z-ai/glm-5""]",[2218],[6114],"[""generation""]",[8332],,2218,6114,0,0,0,0
10,iteration,costada,circle_packing,evaluator,,1,1,sum_radii,2.4839558392362786,2.487645897741384,5,0.9426777378505802,0.9440781395602976,5,0.9426777378505802,0.9440781395602976,0.9440781395602976,0.9440781395602976,0.9440781395602976,,0.9426777378505802,0.9440781395602976,5,0.01067228,0.01067228,0.0,0.0,0.01067228,0.11180589999999999,0.11180589999999999,0.8881941,0.8988663800000001,0.8881941,6894,2482,9376,6894,2482,6894,2482,0,0,0,0,1,1,0,0,0.11180590000000001,0.01,1.0672269327730672,1.0672269327730672,0.7262080631460162,1.0811943460872973,0.0,0.0,0.0,0.0,0.0,0.0,0.10933461824064551,0.0,0.0010920669885977992,0.0,0.0021494320718109714,0.11239993203658831,0.005130038368451506,2,0.4095391772832828,True,exploration,exploration,standard,,,,,False,False,False,False,False,,False,True,True,True,[],False,0,1,z-ai/glm-5,1.0,366.8795876502991,"{""combined_score"": 0.9426777378505802, ""eval_time"": 182.3391146659851, ""sum_radii"": 2.4839558392362786, ""target_ratio"": 0.9426777378505802, ""validity"": 1.0}","{""generation"": 0.01067228, ""guide"": 0.0, ""retry"": 0.0}","[{""input_tokens"": 6894, ""meta"": {}, ""model_name"": ""z-ai/glm-5"", ""output_tokens"": 2482, ""raw_cost"": 0.01067228, ""role"": ""generation"", ""total_tokens"": 9376}]",,,,[2482],[0.01067228],[6894],"[""z-ai/glm-5""]",[2482],[6894],"[""generation""]",[9376],,2482,6894,0,0,0,0
