iteration,source,method,task_family,task_name,seed,frontier_id,objective_key,objective_value,best_so_far_objective,best_so_far_objective_iteration,combined_score,best_so_far_combined_score,best_so_far_combined_score_iteration,candidate_score,local_best,global_best_before,global_best_after,global_best,target_value,target_ratio,best_so_far_target_ratio,best_so_far_target_ratio_iteration,generation_cost,retry_cost,guide_cost,iteration_cost,cumulative_cost,remaining_budget_ratio,remaining_budget_ratio_before,remaining_budget_ratio_after,input_tokens,output_tokens,total_tokens,prompt_tokens,completion_tokens,generation_input_tokens,generation_output_tokens,retry_input_tokens,retry_output_tokens,guide_input_tokens,guide_output_tokens,num_calls,num_generation_calls_this_iteration,num_retry_calls_this_iteration,num_guide_calls_this_iteration,lambda_t,local_gain,global_gain,local_gain_normalized,global_gain_normalized,frontier_improvement,utility,frontier_signal,routing_reward,routing_stat,router_reward,recent_improvement_avg,stagnation_steps,intensity,tier,base_tier,final_tier,tier_override_reason,meta_triggered,guide_triggered,meta_sources,paradigm_triggered,paradigm_count,attempts_used,model_name,validity,eval_time,metrics_raw,calls,action_family,action_tier,budget_bin,call_completion_tokens,call_costs,call_input_tokens,call_model_names,call_output_tokens,call_prompt_tokens,call_roles,call_total_tokens,frontier_gain,generation_completion_tokens,generation_prompt_tokens,guide_completion_tokens,guide_prompt_tokens,retry_completion_tokens,retry_prompt_tokens
1,iteration,evox,circle_packing,evaluator,,,sum_radii,1.830925640652798,1.830925640652798,1,0.6948484404754453,0.6948484404754453,1,0.6948484404754453,0.6948484404754453,0.36423689449571406,0.6948484404754453,0.6948484404754453,,0.6948484404754453,0.6948484404754453,1,0.014542179999999998,0.032403219999999996,0.006311119999999999,0.053256519999999995,0.053256519999999995,0.9994674348,1.0,0.9994674348,10136,19982,30118,10136,19982,1839,5747,2381,13343,5916,892,3,1,1,1,,0.3306115459797312,0.3306115459797312,0.9076827498144109,0.9076827498144109,,0.3306115459797312,,,,,,,,,,,,True,True,"[""pending_evox_meta""]",False,0,2,z-ai/glm-5,1.0,0.3064119815826416,"{""combined_score"": 0.6948484404754453, ""eval_time"": 0.1479477882385254, ""sum_radii"": 1.830925640652798, ""target_ratio"": 0.6948484404754453, ""validity"": 1.0}","[{""input_tokens"": 1839, ""meta"": {}, ""model_name"": ""z-ai/glm-5"", ""output_tokens"": 5747, ""raw_cost"": 0.014542179999999998, ""role"": ""generation"", ""total_tokens"": 7586}, {""input_tokens"": 2381, ""meta"": {}, ""model_name"": ""z-ai/glm-5"", ""output_tokens"": 13343, ""raw_cost"": 0.032403219999999996, ""role"": ""retry"", ""total_tokens"": 15724}, {""input_tokens"": 5916, ""meta"": {""source"": ""evox_variation_operator_generation""}, ""model_name"": ""z-ai/glm-5"", ""output_tokens"": 892, ""raw_cost"": 0.006311119999999999, ""role"": ""guide"", ""total_tokens"": 6808}]",,,,"[5747, 13343, 892]","[0.014542179999999998, 0.032403219999999996, 0.006311119999999999]","[1839, 2381, 5916]","[""z-ai/glm-5"", ""z-ai/glm-5"", ""z-ai/glm-5""]","[5747, 13343, 892]","[1839, 2381, 5916]","[""generation"", ""retry"", ""guide""]","[7586, 15724, 6808]",,5747,1839,892,5916,13343,2381
3,iteration,evox,circle_packing,evaluator,,,sum_radii,1.830925640652798,1.830925640652798,1,0.6948484404754453,0.6948484404754453,1,0.6948484404754453,0.6948484404754453,0.6948484404754453,0.6948484404754453,0.6948484404754453,,0.6948484404754453,0.6948484404754453,1,0.008156779999999999,0.0,0.0,0.008156779999999999,0.06141329999999999,0.999385867,0.9994674348,0.999385867,3084,2581,5665,3084,2581,3084,2581,0,0,0,0,1,1,0,0,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,False,False,[],False,0,1,z-ai/glm-5,1.0,0.3005497455596924,"{""combined_score"": 0.6948484404754453, ""eval_time"": 0.14735984802246094, ""sum_radii"": 1.830925640652798, ""target_ratio"": 0.6948484404754453, ""validity"": 1.0}","[{""input_tokens"": 3084, ""meta"": {}, ""model_name"": ""z-ai/glm-5"", ""output_tokens"": 2581, ""raw_cost"": 0.008156779999999999, ""role"": ""generation"", ""total_tokens"": 5665}]",,,,[2581],[0.008156779999999999],[3084],"[""z-ai/glm-5""]",[2581],[3084],"[""generation""]",[5665],,2581,3084,0,0,0,0
4,iteration,evox,circle_packing,evaluator,,,,,1.830925640652798,1,,0.6948484404754453,1,,,0.6948484404754453,0.6948484404754453,0.6948484404754453,,,0.6948484404754453,1,0.0,0.0,0.0,0.0,0.06141329999999999,0.999385867,0.999385867,0.999385867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,False,False,[],False,0,1,unknown,,0.0,{},[],,,,[],[],[],[],[],[],[],[],,0,0,0,0,0,0
5,iteration,evox,circle_packing,evaluator,,,sum_radii,1.5230685724289754,1.830925640652798,1,0.5780146384929699,0.6948484404754453,1,0.5780146384929699,0.5780146384929699,0.6948484404754453,0.6948484404754453,0.6948484404754453,,0.5780146384929699,0.6948484404754453,1,0.00394266,0.014954859999999999,0.0,0.018897519999999998,0.08031081999999999,0.9991968918,0.999385867,0.9991968918,8511,5552,14063,8511,5552,4163,411,4348,5141,0,0,2,1,1,0,,-0.1168338019824754,0.0,-0.16814285702725715,0.0,,-0.1168338019824754,,,,,,,,,,,,False,False,[],False,0,2,z-ai/glm-5,1.0,1.9705238342285156,"{""combined_score"": 0.5780146384929699, ""eval_time"": 1.0450103282928467, ""sum_radii"": 1.5230685724289754, ""target_ratio"": 0.5780146384929699, ""validity"": 1.0}","[{""input_tokens"": 4163, ""meta"": {}, ""model_name"": ""z-ai/glm-5"", ""output_tokens"": 411, ""raw_cost"": 0.00394266, ""role"": ""generation"", ""total_tokens"": 4574}, {""input_tokens"": 4348, ""meta"": {}, ""model_name"": ""z-ai/glm-5"", ""output_tokens"": 5141, ""raw_cost"": 0.014954859999999999, ""role"": ""retry"", ""total_tokens"": 9489}]",,,,"[411, 5141]","[0.00394266, 0.014954859999999999]","[4163, 4348]","[""z-ai/glm-5"", ""z-ai/glm-5""]","[411, 5141]","[4163, 4348]","[""generation"", ""retry""]","[4574, 9489]",,411,4163,0,0,5141,4348
7,iteration,evox,circle_packing,evaluator,,,sum_radii,1.6733279720272727,1.830925640652798,1,0.635039078568225,0.6948484404754453,1,0.635039078568225,0.635039078568225,0.6948484404754453,0.6948484404754453,0.6948484404754453,,0.635039078568225,0.6948484404754453,1,0.00803108,0.0,0.0,0.00803108,0.08834189999999999,0.999116581,0.9991968918,0.999116581,5794,1678,7472,5794,1678,5794,1678,0,0,0,0,1,1,0,0,,-0.059809361907220304,0.0,-0.08607540640991604,0.0,,-0.059809361907220304,,,,,,,,,,,,False,False,[],False,0,1,z-ai/glm-5,1.0,0.3672769069671631,"{""combined_score"": 0.635039078568225, ""eval_time"": 0.19336462020874023, ""sum_radii"": 1.6733279720272727, ""target_ratio"": 0.635039078568225, ""validity"": 1.0}","[{""input_tokens"": 5794, ""meta"": {}, ""model_name"": ""z-ai/glm-5"", ""output_tokens"": 1678, ""raw_cost"": 0.00803108, ""role"": ""generation"", ""total_tokens"": 7472}]",,,,[1678],[0.00803108],[5794],"[""z-ai/glm-5""]",[1678],[5794],"[""generation""]",[7472],,1678,5794,0,0,0,0
8,iteration,evox,circle_packing,evaluator,,,sum_radii,1.4294420548247504,1.830925640652798,1,0.5424827532541747,0.6948484404754453,1,0.5424827532541747,0.5424827532541747,0.6948484404754453,0.6948484404754453,0.6948484404754453,,0.5424827532541747,0.6948484404754453,1,0.01820768,0.0,0.0,0.01820768,0.10654957999999999,0.9989345042,0.999116581,0.9989345042,7029,5716,12745,7029,5716,7029,5716,0,0,0,0,1,1,0,0,,-0.15236568722127053,0.0,-0.21927902308741654,0.0,,-0.15236568722127053,,,,,,,,,,,,False,False,[],False,0,1,z-ai/glm-5,1.0,0.35947418212890625,"{""combined_score"": 0.5424827532541747, ""eval_time"": 0.17768192291259766, ""sum_radii"": 1.4294420548247504, ""target_ratio"": 0.5424827532541747, ""validity"": 1.0}","[{""input_tokens"": 7029, ""meta"": {}, ""model_name"": ""z-ai/glm-5"", ""output_tokens"": 5716, ""raw_cost"": 0.01820768, ""role"": ""generation"", ""total_tokens"": 12745}]",,,,[5716],[0.01820768],[7029],"[""z-ai/glm-5""]",[5716],[7029],"[""generation""]",[12745],,5716,7029,0,0,0,0
9,iteration,evox,circle_packing,evaluator,,,sum_radii,1.5405270489184133,1.830925640652798,1,0.5846402462688476,0.6948484404754453,1,0.5846402462688476,0.5846402462688476,0.6948484404754453,0.6948484404754453,0.6948484404754453,,0.5846402462688476,0.6948484404754453,1,0.010321039999999998,0.0,0.0,0.010321039999999998,0.11687062,0.9988312938,0.9989345042,0.9988312938,7077,2272,9349,7077,2272,7077,2272,0,0,0,0,1,1,0,0,,-0.11020819420659766,0.0,-0.15860752904790068,0.0,,-0.11020819420659766,,,,,,,,,,,,False,False,[],False,0,1,z-ai/glm-5,1.0,0.305788516998291,"{""combined_score"": 0.5846402462688476, ""eval_time"": 0.15262627601623535, ""sum_radii"": 1.5405270489184133, ""target_ratio"": 0.5846402462688476, ""validity"": 1.0}","[{""input_tokens"": 7077, ""meta"": {}, ""model_name"": ""z-ai/glm-5"", ""output_tokens"": 2272, ""raw_cost"": 0.010321039999999998, ""role"": ""generation"", ""total_tokens"": 9349}]",,,,[2272],[0.010321039999999998],[7077],"[""z-ai/glm-5""]",[2272],[7077],"[""generation""]",[9349],,2272,7077,0,0,0,0
10,iteration,evox,circle_packing,evaluator,,,sum_radii,1.5359423709361109,1.830925640652798,1,0.5829003305260383,0.6948484404754453,1,0.5829003305260383,0.5829003305260383,0.6948484404754453,0.6948484404754453,0.6948484404754453,,0.5829003305260383,0.6948484404754453,1,0.00907114,0.0,0.0,0.00907114,0.12594175999999999,0.9987405824,0.9988312938,0.9987405824,7082,1727,8809,7082,1727,7082,1727,0,0,0,0,1,1,0,0,,-0.11194810994940696,0.0,-0.1611115509920512,0.0,,-0.11194810994940696,,,,,,,,,,,,False,False,[],False,0,1,z-ai/glm-5,1.0,0.3557710647583008,"{""combined_score"": 0.5829003305260383, ""eval_time"": 0.15682649612426758, ""sum_radii"": 1.5359423709361109, ""target_ratio"": 0.5829003305260383, ""validity"": 1.0}","[{""input_tokens"": 7082, ""meta"": {}, ""model_name"": ""z-ai/glm-5"", ""output_tokens"": 1727, ""raw_cost"": 0.00907114, ""role"": ""generation"", ""total_tokens"": 8809}]",,,,[1727],[0.00907114],[7082],"[""z-ai/glm-5""]",[1727],[7082],"[""generation""]",[8809],,1727,7082,0,0,0,0
11,iteration,evox,circle_packing,evaluator,,,sum_radii,1.2181448286596943,1.830925640652798,1,0.4622940526222749,0.6948484404754453,1,0.4622940526222749,0.4622940526222749,0.6948484404754453,0.6948484404754453,0.6948484404754453,,0.4622940526222749,0.6948484404754453,1,0.01456566,0.0,0.0,0.01456566,0.14050742,0.9985949258,0.9987405824,0.9985949258,7053,4125,11178,7053,4125,7053,4125,0,0,0,0,1,1,0,0,,-0.23255438785317034,0.0,-0.33468361488160875,0.0,,-0.23255438785317034,,,,,,,,,,,,False,False,[],False,0,1,z-ai/glm-5,1.0,0.38408565521240234,"{""combined_score"": 0.4622940526222749, ""eval_time"": 0.16228270530700684, ""sum_radii"": 1.2181448286596943, ""target_ratio"": 0.4622940526222749, ""validity"": 1.0}","[{""input_tokens"": 7053, ""meta"": {}, ""model_name"": ""z-ai/glm-5"", ""output_tokens"": 4125, ""raw_cost"": 0.01456566, ""role"": ""generation"", ""total_tokens"": 11178}]",,,,[4125],[0.01456566],[7053],"[""z-ai/glm-5""]",[4125],[7053],"[""generation""]",[11178],,4125,7053,0,0,0,0
12,iteration,evox,circle_packing,evaluator,,,sum_radii,1.4429910558956536,1.830925640652798,1,0.5476246891444606,0.6948484404754453,1,0.5476246891444606,0.5476246891444606,0.6948484404754453,0.6948484404754453,0.6948484404754453,,0.5476246891444606,0.6948484404754453,1,0.00959732,0.0,0.0,0.00959732,0.15010474,0.9984989526,0.9985949258,0.9984989526,7241,1906,9147,7241,1906,7241,1906,0,0,0,0,1,1,0,0,,-0.14722375133098464,0.0,-0.21187894043519448,0.0,,-0.14722375133098464,,,,,,,,,,,,False,False,[],False,0,1,z-ai/glm-5,1.0,0.38742494583129883,"{""combined_score"": 0.5476246891444606, ""eval_time"": 0.18480849266052246, ""sum_radii"": 1.4429910558956536, ""target_ratio"": 0.5476246891444606, ""validity"": 1.0}","[{""input_tokens"": 7241, ""meta"": {}, ""model_name"": ""z-ai/glm-5"", ""output_tokens"": 1906, ""raw_cost"": 0.00959732, ""role"": ""generation"", ""total_tokens"": 9147}]",,,,[1906],[0.00959732],[7241],"[""z-ai/glm-5""]",[1906],[7241],"[""generation""]",[9147],,1906,7241,0,0,0,0
